time,block,txnIndex,txnHash,borrowRate,borrowRateMode,value,currency
1680064760,15935025,105,0x14778bc416ec2f58ce2b84ef131ad7257d894dbb99e2e82e617e5a1ef2e74132,0.044287388317156465,1,6.0,WBTC
1680064770,15935029,196,0xc5fab0883cda0cc2b13163bab6b0f61066f8384ba82cf827ccfab097c2ee649b,0.02209276974571188,2,100000000000000000000000,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
1680064790,15935036,282,0xe284b863662595327b0d2301a8b64df11d3d592f2d65f9f5c42a033f4708cd82,0.023450499644506264,2,50000000000000000000000,0x4Fabb145d64652a948d72533023f6E7A623C7C53
1680064870,15935084,179,0x401c912697d75154758fadeb396a2302ab5f8c30ec59a8337246dfd420ee08af,0.02229630793734925,2,3000.0,USDC
1680065010,15935148,187,0x0582305ace0e589f904b2d0a86313b6471f314cd066e94561cdfe735ec1ed717,0.09288314530492457,2,100000.0,USDT
1680065050,15935168,284,0xa7897ca8f30e57e8dc734b766d84204ded080d2521ea836c3ddddd100778ebbd,0.09662258898256963,2,200000.0,USDT
1680065100,15935192,189,0x06db37052a779542d58cb367871fbcca366481b2429521f446a74aeeb04e3a24,0.11521830190826203,2,1500000.0,USDT
1680065140,15935215,167,0xee24a7692527a2e8273e5476b4d97bb03d928c217def5f79b5a5411a6bf39a3c,0.1280541154603874,2,700000.0,USDT
1680065190,15935230,107,0x14aea061dc06236e73f389f99894cce6af4a9e883759e274d87c6a4d73101752,0.023227523954189744,2,99999.0,USDC
1680065310,15935272,146,0x8967657fd5200be1d3e5d1127c4017df89c60f3903726e85fae2edb3be27a3f4,0.05432009688802577,2,10000000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065440,15935331,173,0x1287fc9809f662caf1d522af477c41a697bfe75c6afb9e5796d3ccddc7f30268,0.023116999673526255,2,125000.0,USDC
1680065500,15935361,143,0x5f769cce6f0d82cedbabf414964324dad8593e7b948617a87aaecadfa87f260e,0.05432002312628502,2,3800000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065550,15935382,135,0x0d8a9f3d2f1e12944f0c7eabe989393fbc24168abae737c6b62baf3ef98d301d,0.0543247687925269,2,6000000000000000000000,0xD533a949740bb3306d119CC777fa900bA034cd52
1680065580,15935397,77,0xeec3bdd1fe963b0c84eacb183e3b05d7efacfcb81a3265a34e9151b6c382a1ec,0.02314230082106729,2,1242588.138361,USDC
